distrito_codigo;distrito_nombre;municipio_codigo;municipio_nombre;superficie_km2;densidad_por_km2;latitud;longitud
079601;Centro;0796;Madrid;5.21;25340.69;40.415347;-3.707371
079602;Arganzuela;0796;Madrid;6.52;23306.44;40.402733;-3.695403
079603;Retiro;0796;Madrid;5.42;21867.53;40.408072;-3.676729
079604;Salamanca;0796;Madrid;5.36;26830.78;40.43;-3.677778
079605;Chamartín;0796;Madrid;9.12;15723.25;40.453333;-3.6775
079606;Tetuan;0796;Madrid;5.37;28664.25;40.460556;-3.7
079607;Chamberí;0796;Madrid;4.73;29049.26;40.432792;-3.697186
079608;Fuencarral-El Pardo;0796;Madrid;238.00;1003.00;40.478611;-3.709722
079609;Moncloa-Aravaca;0796;Madrid;46.47;2515.26;40.435151;-3.718765
079610;Latina;0796;Madrid;25.47;9183.75;40.402461;-3.741294
079611;Carabanchel;0796;Madrid;14.10;17316.88;40.383669;-3.727989
079612;Usera;0796;Madrid;7.70;17535.32;40.381336;-3.706856
079613;Puente_de_Vallecas;0796;Madrid;14.84;15345.01;40.398204;-3.669059
079614;Moratalaz;0796;Madrid;6.08;15493.59;40.409869;-3.644436
079615;Ciudad_Lineal;0796;Madrid;11.52;18455.56;40.45;-3.65
079616;Hortaleza;0796;Madrid;25.87;6973.33;40.469457;-3.640482
079617;Villaverde;0796;Madrid;20.21;7059.13;40.345925;-3.709356
079618;Villa_de_Vallecas;0796;Madrid;51.49;2026.82;40.3796;-3.62135
079619;Vicalvaro;0796;Madrid;35.36;1981.11;40.4042;-3.60806
079620;San_Blas-Canillejas;0796;Madrid;22.26;6934.37;40.426001;-3.612764
079621;Barajas;0796;Madrid;43.56;1076.06;40.470196;-3.58489
